Name,Birthday,Height,Weight,Season,Team Name,Team Short Name,Preferred Foot,Appearances in Starting XI,Goals,Nationality,Transfer Value,Wage,PlayerPhoto,ClubLogo
Abdoulaye Faye, 26 February 1978,187 cm,218 lbs,2013/2014,Hull City,HUL,Right,3,0,,,,,https://cdn.sofifa.org/1x/18/teams/1952.png
Abdul Rahman Baba, 2 July 1994,177 cm,154 lbs,2015/2016,Chelsea,CHE,Left,11,0,,,,,https://cdn.sofifa.org/1x/18/teams/5.png
Abel Hernandez, 8 August 1990,185 cm,161 lbs,2014/2015,Hull City,HUL,Left,15,4,,,,,https://cdn.sofifa.org/1x/18/teams/1952.png
Adam Bogdan, 27 September 1987,193 cm,198 lbs,2011/2012,Bolton Wanderers,BOL,Right,20,0,,,,,https://cdn.sofifa.org/1x/18/teams/4.png
Adam Bogdan, 27 September 1987,193 cm,198 lbs,2015/2016,Liverpool,LIV,Right,2,0,,,,,https://cdn.sofifa.org/1x/18/teams/9.png
Adam Drury, 29 August 1978,180 cm,161 lbs,2011/2012,Norwich City,NOR,Left,12,0,,,,,https://cdn.sofifa.org/1x/18/teams/1792.png
Adam Henley, 14 June 1994,177 cm,170 lbs,2011/2012,Blackburn Rovers,BLB,Right,4,0,,,,,https://cdn.sofifa.org/1x/18/teams/3.png
Adam Johnson, 14 July 1987,175 cm,139 lbs,2011/2012,Manchester City,MCI,Left,10,6,,,,,https://cdn.sofifa.org/1x/18/teams/10.png
Adam Johnson, 14 July 1987,175 cm,139 lbs,2012/2013,Sunderland,SUN,Left,35,5,,,,,https://cdn.sofifa.org/1x/18/teams/106.png
Adam Johnson, 14 July 1987,175 cm,139 lbs,2013/2014,Sunderland,SUN,Left,28,8,,,,,https://cdn.sofifa.org/1x/18/teams/106.png
Adam Johnson, 14 July 1987,175 cm,139 lbs,2014/2015,Sunderland,SUN,Left,23,4,,,,,https://cdn.sofifa.org/1x/18/teams/106.png
Adam Johnson, 14 July 1987,175 cm,139 lbs,2015/2016,Sunderland,SUN,Left,11,2,,,,,https://cdn.sofifa.org/1x/18/teams/106.png
Adam Le Fondre, 2 December 1986,175 cm,161 lbs,2012/2013,Reading,REA,Right,11,12,,,,,https://cdn.sofifa.org/1x/18/teams/1793.png
Adlene Guedioura, 12 November 1985,177 cm,179 lbs,2011/2012,Wolverhampton,WOL,Right,2,0,,,,,https://cdn.sofifa.org/1x/18/teams/110.png
Adlene Guedioura, 12 November 1985,177 cm,179 lbs,2015/2016,Watford,WAT,Right,3,0,,,,,https://cdn.sofifa.org/1x/18/teams/1795.png
Adlene Guedioura, 12 November 1985,177 cm,179 lbs,2013/2014,Crystal Palace,CRY,Right,4,0,,,,,https://cdn.sofifa.org/1x/18/teams/1799.png
Adrian, 31 January 1987,187 cm,170 lbs,2013/2014,West Ham United,WHU,Right,20,0,,,,,https://cdn.sofifa.org/1x/18/teams/19.png
Adrian, 31 January 1987,187 cm,170 lbs,2014/2015,West Ham United,WHU,Right,38,0,,,,,https://cdn.sofifa.org/1x/18/teams/19.png
Adrian, 31 January 1987,187 cm,170 lbs,2015/2016,West Ham United,WHU,Right,32,0,,,,,https://cdn.sofifa.org/1x/18/teams/19.png
Ahmed El Mohamady, 9 September 1987,182 cm,172 lbs,2011/2012,Sunderland,SUN,Right,7,1,,,,,https://cdn.sofifa.org/1x/18/teams/106.png
Ahmed El Mohamady, 9 September 1987,182 cm,172 lbs,2013/2014,Hull City,HUL,Right,38,2,,,,,https://cdn.sofifa.org/1x/18/teams/1952.png
Ahmed El Mohamady, 9 September 1987,182 cm,172 lbs,2014/2015,Hull City,HUL,Right,38,2,,,,,https://cdn.sofifa.org/1x/18/teams/1952.png
Aiyegbeni Yakubu, 22 November 1982,182 cm,183 lbs,2011/2012,Blackburn Rovers,BLB,Right,29,17,,,,,https://cdn.sofifa.org/1x/18/teams/3.png
Akos Buzsaky, 7 May 1982,180 cm,163 lbs,2011/2012,Queens Park Rangers,QPR,Right,10,2,,,,,https://cdn.sofifa.org/1x/18/teams/15.png
Alan Tate, 2 September 1982,185 cm,187 lbs,2011/2012,Swansea City,SWA,Right,1,0,,,,,https://cdn.sofifa.org/1x/18/teams/1960.png
Alan Tate, 2 September 1982,185 cm,187 lbs,2012/2013,Swansea City,SWA,Right,2,0,,,,,https://cdn.sofifa.org/1x/18/teams/1960.png
Albert Crusat, 13 May 1982,165 cm,143 lbs,2011/2012,Wigan Athletic,WIG,Left,4,0,,,,,https://cdn.sofifa.org/1x/18/teams/1917.png
Alberto Moreno, 5 July 1992,170 cm,143 lbs,2014/2015,Liverpool,LIV,Left,26,2,,,,,https://cdn.sofifa.org/1x/18/teams/9.png
Alberto Moreno, 5 July 1992,170 cm,143 lbs,2015/2016,Liverpool,LIV,Left,28,1,,,,,https://cdn.sofifa.org/1x/18/teams/9.png
Alejandro Faurlin, 9 August 1986,185 cm,174 lbs,2011/2012,Queens Park Rangers,QPR,Left,20,1,,,,,https://cdn.sofifa.org/1x/18/teams/15.png
Alejandro Faurlin, 9 August 1986,185 cm,174 lbs,2012/2013,Queens Park Rangers,QPR,Left,10,0,,,,,https://cdn.sofifa.org/1x/18/teams/15.png
Alejandro Faurlin, 9 August 1986,185 cm,174 lbs,2014/2015,Queens Park Rangers,QPR,Left,1,0,,,,,https://cdn.sofifa.org/1x/18/teams/15.png
Alejandro Pozuelo, 20 September 1991,170 cm,139 lbs,2013/2014,Swansea City,SWA,Right,7,0,,,,,https://cdn.sofifa.org/1x/18/teams/1960.png
Aleksandar Mitrovic, 16 September 1994,187 cm,181 lbs,2015/2016,Newcastle United,NEW,Right,22,9,,,,,https://cdn.sofifa.org/1x/18/teams/13.png
Alex, 17 June 1982,187 cm,203 lbs,2011/2012,Chelsea,CHE,Right,3,0,,,,,https://cdn.sofifa.org/1x/18/teams/5.png
Alex Kacaniklic, 13 August 1991,180 cm,159 lbs,2011/2012,Fulham,FUL,Left,2,0,,,,,https://cdn.sofifa.org/1x/18/teams/144.png
Alex Kacaniklic, 13 August 1991,180 cm,159 lbs,2012/2013,Fulham,FUL,Left,16,4,,,,,https://cdn.sofifa.org/1x/18/teams/144.png
Alex Kacaniklic, 13 August 1991,180 cm,159 lbs,2013/2014,Fulham,FUL,Left,15,1,,,,,https://cdn.sofifa.org/1x/18/teams/144.png
Alexander Buettner, 11 February 1989,175 cm,165 lbs,2012/2013,Manchester United,MUN,Left,4,2,,,,,https://cdn.sofifa.org/1x/18/teams/11.png
Alexander Buettner, 11 February 1989,175 cm,165 lbs,2013/2014,Manchester United,MUN,Left,5,0,,,,,https://cdn.sofifa.org/1x/18/teams/11.png
Alexandre Pato, 2 September 1989,180 cm,179 lbs,2015/2016,Chelsea,CHE,Right,1,1,,,,,https://cdn.sofifa.org/1x/18/teams/5.png
Alexis Sanchez, 19 December 1988,170 cm,137 lbs,2014/2015,Arsenal,ARS,Right,34,16,,,,,https://cdn.sofifa.org/1x/18/teams/1.png
Alexis Sanchez, 19 December 1988,170 cm,137 lbs,2015/2016,Arsenal,ARS,Right,28,13,,,,,https://cdn.sofifa.org/1x/18/teams/1.png
Alou Diarra, 15 July 1981,190 cm,174 lbs,2012/2013,West Ham United,WHU,Right,1,0,,,,,https://cdn.sofifa.org/1x/18/teams/19.png
Alou Diarra, 15 July 1981,190 cm,174 lbs,2013/2014,West Ham United,WHU,Right,1,0,,,,,https://cdn.sofifa.org/1x/18/teams/19.png
Alvaro Negredo, 20 August 1985,185 cm,190 lbs,2013/2014,Manchester City,MCI,Left,21,9,,,,,https://cdn.sofifa.org/1x/18/teams/10.png
Alvaro Vazquez, 27 April 1991,182 cm,165 lbs,2013/2014,Swansea City,SWA,Right,5,0,,,,,https://cdn.sofifa.org/1x/18/teams/1960.png
Ander Herrera, 14 August 1989,182 cm,161 lbs,2014/2015,Manchester United,MUN,Right,19,6,,,,,https://cdn.sofifa.org/1x/18/teams/11.png
Ander Herrera, 14 August 1989,182 cm,161 lbs,2015/2016,Manchester United,MUN,Right,17,3,,,,,https://cdn.sofifa.org/1x/18/teams/11.png
Anderson, 13 April 1988,175 cm,152 lbs,2011/2012,Manchester United,MUN,Left,8,2,,,,,https://cdn.sofifa.org/1x/18/teams/11.png
Anderson, 13 April 1988,175 cm,152 lbs,2012/2013,Manchester United,MUN,Left,9,1,,,,,https://cdn.sofifa.org/1x/18/teams/11.png
Anderson, 13 April 1988,175 cm,152 lbs,2013/2014,Manchester United,MUN,Left,2,0,,,,,https://cdn.sofifa.org/1x/18/teams/11.png
Andre Schuerrle, 6 November 1990,182 cm,163 lbs,2013/2014,Chelsea,CHE,Right,15,8,,,,,https://cdn.sofifa.org/1x/18/teams/5.png
Andre Schuerrle, 6 November 1990,182 cm,163 lbs,2014/2015,Chelsea,CHE,Right,5,3,,,,,https://cdn.sofifa.org/1x/18/teams/5.png
Andrea Orlandi, 3 August 1984,180 cm,172 lbs,2011/2012,Swansea City,SWA,Left,2,1,,,,,https://cdn.sofifa.org/1x/18/teams/1960.png
Andrej Kramaric, 19 June 1991,177 cm,161 lbs,2014/2015,Leicester City,LEI,Right,6,2,,,,,https://cdn.sofifa.org/1x/18/teams/95.png
Andrew Johnson, 10 February 1981,170 cm,141 lbs,2011/2012,Fulham,FUL,Right,13,0,,,,,https://cdn.sofifa.org/1x/18/teams/144.png
Andrew Johnson, 10 February 1981,170 cm,141 lbs,2012/2013,Queens Park Rangers,QPR,Right,2,0,,,,,https://cdn.sofifa.org/1x/18/teams/15.png
Andrey Arshavin, 29 May 1981,172 cm,154 lbs,2011/2012,Arsenal,ARS,Right,8,1,,,,,https://cdn.sofifa.org/1x/18/teams/1.png
Andy Carroll, 6 January 1989,190 cm,174 lbs,2011/2012,Liverpool,LIV,Left,21,4,,,,,https://cdn.sofifa.org/1x/18/teams/9.png
Andy Carroll, 6 January 1989,190 cm,174 lbs,2012/2013,West Ham United,WHU,Left,22,7,,,,,https://cdn.sofifa.org/1x/18/teams/19.png
Andy Carroll, 6 January 1989,190 cm,174 lbs,2013/2014,West Ham United,WHU,Left,12,2,,,,,https://cdn.sofifa.org/1x/18/teams/19.png
Andy Carroll, 6 January 1989,190 cm,174 lbs,2014/2015,West Ham United,WHU,Left,12,5,,,,,https://cdn.sofifa.org/1x/18/teams/19.png
Andy Carroll, 6 January 1989,190 cm,174 lbs,2015/2016,West Ham United,WHU,Left,13,9,,,,,https://cdn.sofifa.org/1x/18/teams/19.png
Angel Di Maria, 14 February 1988,180 cm,165 lbs,2014/2015,Manchester United,MUN,Left,20,3,,,,,https://cdn.sofifa.org/1x/18/teams/11.png
Angel Rangel, 28 October 1982,180 cm,181 lbs,2011/2012,Swansea City,SWA,Right,32,0,,,,,https://cdn.sofifa.org/1x/18/teams/1960.png
Angel Rangel, 28 October 1982,180 cm,181 lbs,2012/2013,Swansea City,SWA,Right,30,3,,,,,https://cdn.sofifa.org/1x/18/teams/1960.png
Angel Rangel, 28 October 1982,180 cm,181 lbs,2013/2014,Swansea City,SWA,Right,29,0,,,,,https://cdn.sofifa.org/1x/18/teams/1960.png
Angel Rangel, 28 October 1982,180 cm,181 lbs,2014/2015,Swansea City,SWA,Right,22,0,,,,,https://cdn.sofifa.org/1x/18/teams/1960.png
Angel Rangel, 28 October 1982,180 cm,181 lbs,2015/2016,Swansea City,SWA,Right,20,0,,,,,https://cdn.sofifa.org/1x/18/teams/1960.png
