Team_Name,Month_Name,Percent_Loss
Arsenal,JAN,18.42
Arsenal,FEB,7.89
Arsenal,MAR,13.16
Arsenal,APR,5.26
Arsenal,MAY,2.63
Arsenal,AUG,10.53
Arsenal,SEP,7.89
Arsenal,OCT,7.89
Arsenal,NOV,13.16
Arsenal,DEC,13.16
Aston Villa,JAN,7.14
Aston Villa,FEB,14.29
Aston Villa,MAR,11.22
Aston Villa,APR,13.27
Aston Villa,MAY,7.14
Aston Villa,AUG,6.12
Aston Villa,SEP,7.14
Aston Villa,OCT,12.24
Aston Villa,NOV,7.14
Aston Villa,DEC,14.29
Blackburn Rovers,JAN,4.35
Blackburn Rovers,FEB,13.04
Blackburn Rovers,MAR,4.35
Blackburn Rovers,APR,21.74
Blackburn Rovers,MAY,8.7
Blackburn Rovers,AUG,13.04
Blackburn Rovers,SEP,4.35
Blackburn Rovers,OCT,8.7
Blackburn Rovers,NOV,8.7
Blackburn Rovers,DEC,13.04
Bolton Wanderers,JAN,4.55
Bolton Wanderers,FEB,13.64
Bolton Wanderers,MAR,4.55
Bolton Wanderers,APR,9.09
Bolton Wanderers,MAY,4.55
Bolton Wanderers,AUG,9.09
Bolton Wanderers,SEP,13.64
Bolton Wanderers,OCT,13.64
Bolton Wanderers,NOV,9.09
Bolton Wanderers,DEC,18.18
Bournemouth,JAN,5.56
Bournemouth,FEB,11.11
Bournemouth,MAR,5.56
Bournemouth,APR,22.22
Bournemouth,MAY,5.56
Bournemouth,AUG,11.11
Bournemouth,SEP,11.11
Bournemouth,OCT,11.11
Bournemouth,NOV,11.11
Bournemouth,DEC,5.56
Burnley,JAN,10.53
Burnley,FEB,10.53
Burnley,MAR,10.53
Burnley,APR,15.79
Burnley,MAY,5.26
Burnley,AUG,10.53
Burnley,SEP,5.26
Burnley,OCT,10.53
Burnley,NOV,5.26
Burnley,DEC,15.79
Cardiff City,JAN,18.18
Cardiff City,FEB,9.09
Cardiff City,MAR,13.64
Cardiff City,APR,9.09
Cardiff City,MAY,9.09
Cardiff City,AUG,4.55
Cardiff City,SEP,4.55
Cardiff City,OCT,9.09
Cardiff City,NOV,9.09
Cardiff City,DEC,13.64
Chelsea,JAN,5.26
Chelsea,FEB,7.89
Chelsea,MAR,13.16
Chelsea,APR,7.89
Chelsea,MAY,10.53
Chelsea,AUG,5.26
Chelsea,SEP,7.89
Chelsea,OCT,15.79
Chelsea,NOV,10.53
Chelsea,DEC,15.79
Crystal Palace,JAN,11.32
Crystal Palace,FEB,11.32
Crystal Palace,MAR,9.43
Crystal Palace,APR,9.43
Crystal Palace,MAY,5.66
Crystal Palace,AUG,9.43
Crystal Palace,SEP,9.43
Crystal Palace,OCT,13.21
Crystal Palace,NOV,9.43
Crystal Palace,DEC,11.32
Everton,JAN,9.09
Everton,FEB,10.91
Everton,MAR,10.91
Everton,APR,9.09
Everton,MAY,12.73
Everton,AUG,5.45
Everton,SEP,5.45
Everton,OCT,12.73
Everton,NOV,5.45
Everton,DEC,18.18
Fulham,JAN,9.09
Fulham,FEB,7.27
Fulham,MAR,12.73
Fulham,APR,10.91
Fulham,MAY,7.27
Fulham,AUG,9.09
Fulham,SEP,7.27
